-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,66,67,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,116,-1,-1,-1,-1,-1,25,8,26,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,25,8,8,26,-1,-1,-1,27,28,29,-1
-1,-1,-1,42,60,-1,-1,-1,25,24,28,28,29,-1,-1,-1,27,28,29,-1
-1,-1,-1,28,63,-1,-1,-1,27,28,24,28,63,-1,83,32,61,28,29,-1
-1,-1,-1,28,63,-1,-1,-1,27,28,28,28,28,45,42,43,28,58,29,-1
-1,-1,-1,24,63,-1,-1,-1,27,28,24,28,28,28,58,28,28,28,29,-1
-1,-1,-1,28,63,-1,-1,44,24,28,28,28,28,28,28,28,28,28,29,-1
-1,-1,-1,28,28,45,45,28,28,28,28,28,28,28,28,28,28,28,29,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
